Complaint ID,Date,Category,Description,Location,Status,Priority Level,Department,Response Time (Days),latitude,longitude
CMP-1410,8/6/2024,Water Leakage,Water Leakage reported in Parks,Industrial Area,In Progress,Medium,Water Management,,24.786566,46.69923
CMP-1411,5/22/2023,Potholes,Potholes reported in Parks,Residential Area,Pending,Low,Water Management,,24.698664,46.617569
CMP-1412,1/3/2023,Noise Complaint,Noise Complaint reported in Suburbs,Parks,In Progress,Low,Public Works,,24.788262,46.654152
CMP-1413,12/28/2024,Water Leakage,Water Leakage reported in Parks,Industrial Area,In Progress,Low,Public Works,,24.700745,46.630536
CMP-1414,11/5/2023,Potholes,Potholes reported in City Center,Industrial Area,Pending,High,Traffic,,24.802851,46.695203
CMP-1415,7/31/2024,Street Lighting,Street Lighting reported in Residential Area,Downtown,Escalated,Low,Traffic,,24.827669,46.789132
CMP-1416,8/7/2023,Water Leakage,Water Leakage reported in Residential Area,Downtown,Resolved,Low,Parks & Recreation,3.0,24.615339,46.780162
CMP-1417,12/8/2023,Garbage Collection,Garbage Collection reported in City Center,Downtown,Pending,Low,Public Works,,24.633412,46.685622
CMP-1418,4/1/2024,Street Lighting,Street Lighting reported in Residential Area,City Center,Resolved,Low,Sanitation,8.0,24.802718,46.600082
CMP-1419,12/26/2024,Illegal Parking,Illegal Parking reported in Suburbs,Parks,Escalated,High,Water Management,,24.813676,46.620979
CMP-1420,11/18/2024,Illegal Parking,Illegal Parking reported in Suburbs,Parks,Resolved,Low,Public Works,30.0,24.777653,46.708725
CMP-1421,3/7/2023,Illegal Parking,Illegal Parking reported in City Center,City Center,Resolved,Critical,Water Management,15.0,24.781397,46.761404
CMP-1422,2/29/2024,Water Leakage,Water Leakage reported in Industrial Area,Residential Area,Escalated,Medium,Water Management,,24.750606,46.684858
CMP-1423,9/4/2024,Garbage Collection,Garbage Collection reported in Downtown,Downtown,Resolved,Critical,Traffic,23.0,24.828995,46.607998
CMP-1424,7/17/2024,Water Leakage,Water Leakage reported in Parks,Industrial Area,Resolved,Low,Parks & Recreation,19.0,24.739511,46.796799
CMP-1425,10/12/2024,Water Leakage,Water Leakage reported in Downtown,City Center,Pending,Low,Traffic,,24.628042,46.620305
CMP-1426,9/27/2024,Illegal Parking,Illegal Parking reported in Residential Area,Downtown,In Progress,Medium,Public Works,,24.770639,46.768813
CMP-1427,7/29/2024,Potholes,Potholes reported in Residential Area,Industrial Area,Resolved,Critical,Traffic,9.0,24.686766,46.680094
CMP-1428,8/24/2023,Illegal Parking,Illegal Parking reported in City Center,Parks,Resolved,High,Traffic,20.0,24.767885,46.723033
CMP-1429,4/3/2024,Garbage Collection,Garbage Collection reported in Suburbs,Parks,Resolved,Medium,Traffic,25.0,24.786822,46.624248
CMP-1430,3/9/2024,Street Lighting,Street Lighting reported in Industrial Area,Parks,Resolved,High,Sanitation,25.0,24.606293,46.665288
CMP-1431,8/16/2023,Street Lighting,Street Lighting reported in Parks,Downtown,Resolved,Medium,Public Works,25.0,24.750157,46.671188
CMP-1432,9/1/2023,Street Lighting,Street Lighting reported in Parks,Parks,In Progress,High,Traffic,,24.693973,46.655526
CMP-1433,3/31/2024,Potholes,Potholes reported in Industrial Area,City Center,Resolved,Medium,Water Management,18.0,24.723594,46.794619
CMP-1434,3/26/2023,Illegal Parking,Illegal Parking reported in Residential Area,Suburbs,Resolved,Medium,Water Management,3.0,24.757022,46.731253
CMP-1435,8/3/2023,Illegal Parking,Illegal Parking reported in Parks,Industrial Area,Resolved,High,Parks & Recreation,14.0,24.770686,46.718929
CMP-1436,1/29/2023,Water Leakage,Water Leakage reported in Downtown,Downtown,Resolved,Low,Public Works,18.0,24.73031,46.69055
CMP-1437,1/14/2023,Water Leakage,Water Leakage reported in Suburbs,Industrial Area,Pending,Critical,Sanitation,,24.779431,46.746761
CMP-1438,4/23/2023,Street Lighting,Street Lighting reported in Suburbs,Residential Area,Pending,Low,Sanitation,,24.763698,46.609678
CMP-1439,7/1/2023,Garbage Collection,Garbage Collection reported in Parks,Downtown,Escalated,Medium,Traffic,,24.769931,46.662077
CMP-1440,9/1/2024,Garbage Collection,Garbage Collection reported in Parks,Parks,Resolved,Low,Water Management,25.0,24.616225,46.718604
CMP-1441,5/15/2023,Garbage Collection,Garbage Collection reported in Residential Area,City Center,In Progress,Critical,Sanitation,,24.820294,46.764987
CMP-1442,12/13/2024,Illegal Parking,Illegal Parking reported in Parks,Parks,Resolved,Medium,Public Works,26.0,24.684711,46.753816
CMP-1443,5/5/2024,Noise Complaint,Noise Complaint reported in Residential Area,Residential Area,Resolved,High,Public Works,23.0,24.801468,46.627531
CMP-1444,12/25/2024,Noise Complaint,Noise Complaint reported in Downtown,Residential Area,Resolved,High,Traffic,11.0,24.692692,46.673821
CMP-1445,12/10/2023,Illegal Parking,Illegal Parking reported in Parks,City Center,Resolved,Low,Traffic,18.0,24.603445,46.638221
CMP-1446,11/20/2024,Garbage Collection,Garbage Collection reported in Residential Area,Industrial Area,Resolved,Medium,Public Works,29.0,24.618723,46.627121
CMP-1447,12/16/2023,Noise Complaint,Noise Complaint reported in Industrial Area,Parks,Resolved,High,Sanitation,14.0,24.761339,46.690746
CMP-1448,10/24/2023,Street Lighting,Street Lighting reported in City Center,Downtown,In Progress,Low,Sanitation,,24.656017,46.659292
CMP-1449,6/9/2024,Noise Complaint,Noise Complaint reported in Downtown,City Center,Resolved,High,Traffic,11.0,24.695626,46.607708
CMP-1450,4/15/2023,Potholes,Potholes reported in Downtown,Parks,Pending,Medium,Public Works,,24.672789,46.724583
CMP-1451,4/19/2023,Garbage Collection,Garbage Collection reported in Parks,Downtown,Resolved,High,Sanitation,30.0,24.645385,46.79336
CMP-1452,6/27/2023,Garbage Collection,Garbage Collection reported in Industrial Area,City Center,Pending,Medium,Parks & Recreation,,24.703479,46.638209
CMP-1453,11/27/2023,Street Lighting,Street Lighting reported in Parks,Industrial Area,Resolved,High,Sanitation,7.0,24.735306,46.781145
CMP-1454,10/9/2024,Street Lighting,Street Lighting reported in Downtown,Parks,In Progress,Medium,Public Works,,24.654891,46.742678
CMP-1455,12/11/2024,Street Lighting,Street Lighting reported in Industrial Area,Industrial Area,Resolved,Medium,Traffic,26.0,24.707986,46.733984
CMP-1456,5/27/2024,Water Leakage,Water Leakage reported in City Center,Downtown,Resolved,Medium,Traffic,24.0,24.654783,46.683571
CMP-1457,5/26/2024,Garbage Collection,Garbage Collection reported in Suburbs,Parks,Escalated,Medium,Traffic,,24.815894,46.728126
CMP-1458,12/25/2024,Water Leakage,Water Leakage reported in Parks,Industrial Area,Resolved,Low,Sanitation,7.0,24.83747,46.702687
CMP-1459,10/6/2024,Street Lighting,Street Lighting reported in City Center,Suburbs,Resolved,Critical,Sanitation,19.0,24.691254,46.706239
CMP-1460,8/26/2023,Noise Complaint,Noise Complaint reported in City Center,Parks,Resolved,High,Water Management,21.0,24.61797,46.701974
CMP-1461,11/18/2024,Illegal Parking,Illegal Parking reported in Industrial Area,Industrial Area,Pending,Medium,Water Management,,24.74512,46.75535
CMP-1462,5/2/2023,Street Lighting,Street Lighting reported in Residential Area,Downtown,In Progress,Low,Public Works,,24.842884,46.755208
CMP-1463,12/14/2024,Water Leakage,Water Leakage reported in Parks,Residential Area,Resolved,Critical,Public Works,8.0,24.82524,46.616642
CMP-1464,6/15/2023,Street Lighting,Street Lighting reported in Parks,Residential Area,Resolved,Critical,Sanitation,18.0,24.770511,46.706865
CMP-1465,2/13/2024,Water Leakage,Water Leakage reported in Residential Area,Industrial Area,Resolved,Medium,Public Works,9.0,24.698464,46.611339
CMP-1466,8/14/2024,Garbage Collection,Garbage Collection reported in Suburbs,Industrial Area,Resolved,Low,Water Management,20.0,24.623208,46.719781
CMP-1467,12/14/2024,Noise Complaint,Noise Complaint reported in Downtown,Downtown,Resolved,Low,Parks & Recreation,5.0,24.632731,46.768967
CMP-1468,1/20/2023,Water Leakage,Water Leakage reported in Industrial Area,Industrial Area,Resolved,High,Traffic,15.0,24.675795,46.653839
CMP-1469,2/10/2023,Garbage Collection,Garbage Collection reported in Parks,Suburbs,Resolved,High,Parks & Recreation,29.0,24.660228,46.768267
CMP-1470,2/9/2024,Noise Complaint,Noise Complaint reported in Industrial Area,Suburbs,Escalated,Medium,Public Works,,24.646104,46.744114
CMP-1471,7/28/2024,Water Leakage,Water Leakage reported in Suburbs,Suburbs,Resolved,Medium,Water Management,20.0,24.845463,46.785564
CMP-1472,5/7/2023,Noise Complaint,Noise Complaint reported in Industrial Area,Parks,Resolved,High,Public Works,19.0,24.609302,46.674499
CMP-1473,12/15/2023,Garbage Collection,Garbage Collection reported in Suburbs,City Center,In Progress,Low,Water Management,,24.739224,46.726687
CMP-1474,7/24/2024,Garbage Collection,Garbage Collection reported in Parks,Industrial Area,Resolved,Critical,Traffic,4.0,24.66936,46.677751
CMP-1475,1/23/2023,Water Leakage,Water Leakage reported in Downtown,Suburbs,Resolved,Low,Public Works,20.0,24.722375,46.721381
CMP-1476,8/31/2024,Illegal Parking,Illegal Parking reported in Residential Area,Industrial Area,In Progress,Low,Traffic,,24.614012,46.620057
CMP-1477,2/21/2024,Noise Complaint,Noise Complaint reported in City Center,Suburbs,Pending,Medium,Sanitation,,24.656151,46.710807
CMP-1478,9/6/2024,Garbage Collection,Garbage Collection reported in City Center,Residential Area,In Progress,Medium,Traffic,,24.607388,46.746892
CMP-1479,8/22/2024,Potholes,Potholes reported in Parks,Downtown,Resolved,Medium,Traffic,7.0,24.800315,46.673576
CMP-1480,12/1/2023,Noise Complaint,Noise Complaint reported in City Center,City Center,In Progress,Medium,Parks & Recreation,,24.839053,46.693664
CMP-1481,12/14/2024,Potholes,Potholes reported in Downtown,Industrial Area,Resolved,Critical,Sanitation,21.0,24.833661,46.798052
CMP-1482,4/17/2023,Potholes,Potholes reported in Suburbs,Industrial Area,Resolved,Low,Parks & Recreation,6.0,24.808551,46.733808
CMP-1483,2/9/2023,Garbage Collection,Garbage Collection reported in Residential Area,Residential Area,Resolved,Medium,Sanitation,13.0,24.725984,46.670605
CMP-1484,5/5/2023,Garbage Collection,Garbage Collection reported in Suburbs,Industrial Area,Resolved,Low,Water Management,9.0,24.790112,46.75597
CMP-1485,4/30/2024,Noise Complaint,Noise Complaint reported in Industrial Area,Industrial Area,Pending,High,Traffic,,24.744137,46.721946
CMP-1486,8/30/2023,Noise Complaint,Noise Complaint reported in Parks,Industrial Area,Resolved,High,Traffic,29.0,24.740303,46.700192
CMP-1487,8/10/2024,Garbage Collection,Garbage Collection reported in Industrial Area,Downtown,Resolved,Low,Parks & Recreation,19.0,24.810214,46.686256
CMP-1488,5/26/2023,Noise Complaint,Noise Complaint reported in City Center,Residential Area,In Progress,High,Sanitation,,24.808019,46.799017
CMP-1489,1/1/2024,Illegal Parking,Illegal Parking reported in City Center,Downtown,Resolved,High,Public Works,19.0,24.665573,46.688859
CMP-1490,5/14/2023,Potholes,Potholes reported in Downtown,Suburbs,Escalated,High,Traffic,,24.700817,46.769628
CMP-1491,1/21/2024,Water Leakage,Water Leakage reported in City Center,City Center,Resolved,Low,Public Works,10.0,24.725542,46.718225
CMP-1492,6/26/2024,Illegal Parking,Illegal Parking reported in Suburbs,Downtown,In Progress,Low,Public Works,,24.81781,46.631595
CMP-1493,7/27/2023,Noise Complaint,Noise Complaint reported in Residential Area,Residential Area,Resolved,High,Traffic,27.0,24.794507,46.776716
CMP-1494,5/27/2023,Illegal Parking,Illegal Parking reported in City Center,Industrial Area,Resolved,Low,Sanitation,28.0,24.757511,46.759245
CMP-1495,12/7/2023,Noise Complaint,Noise Complaint reported in Residential Area,Downtown,In Progress,Low,Public Works,,24.67626,46.644711
CMP-1496,5/17/2023,Illegal Parking,Illegal Parking reported in Residential Area,Parks,Pending,High,Sanitation,,24.633592,46.711652
CMP-1497,3/28/2024,Water Leakage,Water Leakage reported in Downtown,City Center,Resolved,Medium,Public Works,24.0,24.625826,46.786561
CMP-1498,9/11/2023,Potholes,Potholes reported in Industrial Area,Suburbs,Resolved,Medium,Water Management,25.0,24.612299,46.67122
CMP-1499,5/17/2023,Illegal Parking,Illegal Parking reported in Industrial Area,Downtown,Resolved,Medium,Water Management,12.0,24.814624,46.671613
